Start,11/15/1999
End,11/15/2019
Frequency,D
Name,EK GDP (EA19)(WDA)(ESA2010) CONA
Code,EKGDP...D
CURRENCY,E
11/15/1999,2197.51
2/15/2000,2224.44
5/15/2000,2243.63
8/15/2000,2256.07
11/15/2000,2271.69
2/15/2001,2293.34
5/15/2001,2295.59
8/15/2001,2298.34
11/15/2001,2301.73
2/15/2002,2303.1
5/15/2002,2316.01
8/15/2002,2325.5
11/15/2002,2329.45
2/15/2003,2321.54
5/15/2003,2323.29
8/15/2003,2337.15
11/15/2003,2354.44
2/15/2004,2366.89
5/15/2004,2380.77
8/15/2004,2387.5
11/15/2004,2395.94
2/15/2005,2400.59
5/15/2005,2416.64
8/15/2005,2434.21
11/15/2005,2450.05
2/15/2006,2472.17
5/15/2006,2499.05
8/15/2006,2513.48
11/15/2006,2543.73
2/15/2007,2560.37
5/15/2007,2576.91
8/15/2007,2587.36
11/15/2007,2603.71
2/15/2008,2616
5/15/2008,2606.68
8/15/2008,2590.11
11/15/2008,2548.5
2/15/2009,2471.13
5/15/2009,2465.48
8/15/2009,2473.53
11/15/2009,2486.22
2/15/2010,2496.45
5/15/2010,2520.51
8/15/2010,2532.17
11/15/2010,2548.09
2/15/2011,2568.43
5/15/2011,2568.19
8/15/2011,2570.73
11/15/2011,2561.44
2/15/2012,2557.03
5/15/2012,2547.77
8/15/2012,2544.85
11/15/2012,2534.74
2/15/2013,2524.1
5/15/2013,2537.7
8/15/2013,2546.84
11/15/2013,2552.76
2/15/2014,2564.45
5/15/2014,2568.76
8/15/2014,2580.99
11/15/2014,2592.44
2/15/2015,2611.3
5/15/2015,2621.34
8/15/2015,2633.83
11/15/2015,2644.74
2/15/2016,2660.43
5/15/2016,2668.87
8/15/2016,2679.4
11/15/2016,2700.12
2/15/2017,2718.57
5/15/2017,2737.03
8/15/2017,2758.39
11/15/2017,2779.81
2/15/2018,2788.51
5/15/2018,2798.92
8/15/2018,2804.71
11/15/2018,2813.33
2/15/2019,2825.49
5/15/2019,2831.14
8/15/2019,#N/A
11/15/2019,#N/A
